text,sentiment
I hope the summer will also calm down #corona#humanityfirstInDoreThe Mini MumBai ,Negative sentiment
I am now fan of Dhinchak Pooja She is more sensible than the so called elite amp educated and all of Bollywood #Corona #kanikakapoorJaipur Rajasthan ,Neutral sentiment
This is the time when we all need to understand the seriousness of CORONA VIRUSOTFCoder supports JANTA CURFEW requested by our PM ModijiStay at home stay safe protect yourself and others from ,Positive sentiment
#coronavirus safety precautions Stay home Stay protected#corona #who #health #safe #virus #coronaindia #safetytips #healthtips #thanksBarabanki India ,Positive sentiment
AgainMy Tweetselected for displaying LIVE on REPUBLIC TV on the Debate with Arnab Goswami on evacuating Shaheen Bagh amid spread of CORONA Virus threat and PM Narendra Modis appeal for Janta ,Positive sentiment
#corona is #dangerousMaintain #socialdistance #besafeIndia ,Positive sentiment
jantacurfew shutdown lockdown quarantine quarantined socialdistancing corona india modi breakingnews bjp covid covid19 covid19 koronavir covid_19 corona lockdown,Negative sentiment
Take screenshot and share #corona #CoronaPendamic #bhopal #healthybhopalMadhya Pradesh ,Neutral sentiment
FAQ of #corona #virusPondicherry,Negative sentiment
When Nature Resurrects Against Human #Life #Nature #Resurrection #MotherNature #HumanKind #Endangered #Karma #Corona #CoronaVirus #COVID #COVID19 #CoronaPandemic #CoronaVirusThreat #CoronaOutBreak #CoronaAlert ,Neutral sentiment
Only move out if its important please stay indoors and keep urself safe#covid19 #corona #besafeeveryone #stayhome #stayhealthy #jantacurfew#yogiadityanathDelhi India ,Positive sentiment
Life in the time of corona Is there a right way to worry about coronavirus ,Neutral sentiment
#novel Corona COVID19 IS NOT SPREAD FROM DIRTTHE FRESH EVIDENCE OF THIS STATEMENT IS THAT COVID19 FOUND IN FAMOUS SINGER AND ACTRESSKANIKA KAPOOR SOI URGED TO ALL OUR COUNTRYMEN PLZ FOLLOW JANTA CURFEW ,Positive sentiment
Day 9Drinking a Corona Premier by Personal ,Neutral sentiment
#shankstar KGF aka CORONA ~ stay safe from Monster #corona #coronaindia #fightforcovid19Tiruchchirappalli ,Positive sentiment
Drink coffee amp Citrus fruit juices because Coronahates Bitter amp Sour stuffUse both stuff without any additives in theseDrip coffee made by letting boiling water drip slowly through finelyground ,Neutral sentiment
Lets Fight Together ,Negative sentiment
~ Wake me up when Corona ends ~Meh Mom is paranoid So she doesnttake me out for walks Im restricted to the confines of our home Okay the lawn too But a pupper has to play So till this pandemic is ,Positive sentiment
A good safety culture is built over timeStay safe during this crucial period of Corona Outbreak#lataar #letsgoforlataar #corona #covid19 #stoprumours #safetySurat Gujarat ,Positive sentiment
Together Lets Keep India StrongStay Safe #SWASTIC Communications #FightCorona #FightCovid19#CPPLUS #SafeSociety #ChildCare #Corona #standtogther #personalsafety #UparWalaSabDekhRahaHai ,Negative sentiment
#MoJo #MobileJournalism in the time of #coronaMoJo actually is a good way to practice social distancing as well #StopCorona #Journalism #TVReporter #Mumbai #NDTVChhatrapati ,Positive sentiment
Spread on Clothes or Daily Touching points it will Shield you from Corona until 12 hoursDm for Order nowOn 9173830819 #PreventNotPanic#staysafe #covid19 #WishYouWellth #alphasqaud025Ahmedabad India ,Positive sentiment
#selfisolation#gocorona #coron a#coronaviru s#covid19 #novelcoronavirus #myfirstinstagramvideoSurat Textile Directory ,Positive sentiment
Before Vs After picture Just dropped my new Corona free ab workout that you can do in quarantine to get some defined absSearch FelisFella on YouTube or LINK in BIO SUBSCRIBEfor more Stay indoors stay,Positive sentiment
Follow the safety Rules and prevent to corona Covid19Parvat Patiya Modern Township ,Positive sentiment
Stay Alone Stay Safe#socialdistancing #corona#covid19 #aburoad #adventure#travelling #traveldiaries #desaturated #quarantine #homequarantine #traveller #rajasthantourism #rajasthan #contrast #highlights ,Positive sentiment
At Home but when Mother Cow ask for fulfilling her hunger need to come out to feed her Hope world will be safe that is the payer from her #Corona #sarvebhavantusukhinah #BeatHome ##JanCurfewMaharaja Sawai ,Positive sentiment
Stay home and relax yourself because panic only brings stress what is worthless#corona #awareness #india #world #quotestagramUnjha ,Positive sentiment
Missing acche din before Corona days#jantacurfew #goodtimes #acchedin #goa #vacations #throwback #covid19 #corona #fashion #mensfashion #menstyle #likeforlikes #likeforfollow #instadaily,Positive sentiment
Protection is always neededAnd a little bit Gaming also #covid19 #corona #pandemic #awareness #msigaming #xombied #gamersofinstagram #gamerconnect #work #joblife ,Neutral sentiment
Time has come for Reincarnation#corona#reincarnation#selfless#selfmotivation #selfcareHome Sweet Home ,Positive sentiment
Designed By The Rohit SharmaFriends Please Keep Supporting and SharingPlease Take Seriously#therohitsharmapdt #corona #coronamemes #coronavirusitalianews #coronavirusmemes #coronavirus,Positive sentiment
The Obese population is more prone to diseases like Corona Virus due to weakenedimmune responseBariatric Surgery plays a very important role in fighting obesity and thus increasing our immunity at this hour of ,Negative sentiment
THEWAR against Corona#jantacurfew #22march #indiafightscorona #covid19 #amitabhbachchan #coronaKrishna Apra Gardens ,Negative sentiment
#breakthechain of #corona Be at home and do whatever you want at home but dont go out and follow Indian government instructionsPune Maharashtra ,Neutral sentiment
 We pledge that well strictly follow Janta Curfew this Sunday from 7am to 9pm so that we strengthen India,Neutral sentiment
Keep all your egos aside follow our honourable prime ministers suggestion on 22Mar2020 to protect nation from this #mahamari #corona its for our safety #covid19 #stayhome to #staysafeDont get blindfold with,Positive sentiment
No worries stay safe at home and let us deliver food at your doorstep Together we can fight #coronavirus #homedelivery #goodfood #staysafe #wedeliverfood #sachdevas #loveforfood #foodlovers #fooddelivery #corona,Positive sentiment
Lets all break the chain with Janata Curfew on tomorrow Watch this video of Dr Rishika itsallaboutbeingpassionate #corona #coronavirusitalianews #coronaindia #healthyindia #safeindia ,Neutral sentiment
Unite against Corona#fightcorona #fightcoronavirus#fightcovid19 #fightcoronavirustogether #MADWithAZMake A Difference With Ayaz Zanzeria#TheJanzRocksRock Life Before Life Rocks YouZanzeria Family,Positive sentiment
Janta Curfew 22nd March From 7am to 9pm Lets fight agains Corona togetherStay at home Im going to follow #Jantacurfew and youshare this as much possibleinformation on virus staying on surface and ,Neutral sentiment
A Crusadeagainst Corona virus infectionWe Indians have decided to keep ourselves confined in our home for a day Tomorrow Sunday will be self imposed curfew by us Our prime minister has named it ,Neutral sentiment
#Stay KrunsUnlock#stayhome #corona #codiv19 #jantacurfewKrunsunlock ,Negative sentiment
Be safe Stay safe at home #coronaKanpur Uttar Pradesh ,Positive sentiment
Love and share#corona #awareness #jantacerfew #indiawritesUnjha ,Neutral sentiment
RainingRaining Mother Nature is Washing Off the Corona Virus #staysafe #covd19 #coronavirusinindia #rain #kerala #munnar #teaharvester #indiaTea HarvesterA Boutique Resort ,Neutral sentiment
Lets spread positivity to stop corona#tripleoneanimation #tripleone #coronavirusitalianews #coronavirs #coronavirus #corona #coronamemesTriple One ,Positive sentiment
Its not CURFEW its CARE FR YOUSunday 22nd March 7 AM9 PMStay Home Stay Healthy#Corona #JantaCurfew #Curfew #FightFromCorona #Covid19 #GujaratFightsCovid19 #KanikaKaCoronaCrime ,Negative sentiment
Keep DistanceStay UNITED #covid19 #corona #healthfirst #stayathome #workfromhome #safetyfirst #22march #jantacurfew #techdost #meerut #meerutcity #noida #delhiIndia ,Positive sentiment
Corona Virus Precaution currently no vaccine to prevent coronavirus disease COVID19You can protect yourself and help prevent spreading the virus to others Do Work from Home and Stingo provide CRM Software ,Neutral sentiment
#corona#PM Modi On 22nd March from 7 am to 9pm all countrymen have to follow Janta Curfew#pleasefollowme#indianplease#takecareofyourself #bycotexindia Indore India ,Positive sentiment
We support Janta Curfew#indiafightscorona #stayhome #stayhealthy #staystrong #staysafe #staypositive #stayfocused #corona #fightagainstcoronavirus #laundry #laundryindia#laundrytricity#laundry #laundryday ,Positive sentiment
We support Janta Curfew#indiafightscorona #stayhome #stayhealthy #staystrong #staysafe #staypositive #stayfocused #corona #fightagainstcoronavirus #laundry #laundryindia#laundrytricity#laundry #laundryday ,Neutral sentiment
WE CAN STOP CORONAHelp prevent the spreadof Respiratory diseases like COVID19#coronavirus #corona #coronamemes #safetyfirst #jantacurfew #22march #saynotocorona #stayawayfromcoronavirus #coronagoaway ,Positive sentiment
Lets be a responsible citizen for CORONAFREE INDIA Regards Gupta Plywood CentreampGupta Interior StudioCreateUpdateRenovateHome ,Neutral sentiment
Success is series of small wins#instagood #follow #like #followme #instaphoto #instalike #coronaGuangzhou China ,Negative sentiment
Covid19#corona #coronavirus #awareharyana #covid19Hansi ,Neutral sentiment
Know more about the corona virus symptoms precautionsand medicineand also know about how to boost your energy and immune systemTo know more visit New Delhi ,Positive sentiment
Watch the full video on YouTube#covid19 #corona #youtuber #youtube #apple #shotoniphone #bengaluru #kannadayoutubersJ P Nagar ,Neutral sentiment
22March2020Show our UNITYKeep CALMStay HOMESupport to prevent CORONA#stayhomestaysafe #coronavirusindiapdate #coronaindia #coronavirusoutbreakindia#coronachainscare #covid19india #covid19 ,Positive sentiment
ReleasingSukoon SessionsEpisode 3 at 7pm in the eveningFull video link is in the bioI hope this gives some relief in the time of #corona#instrumental #love and #peace #guitar #guitarsolo ,Positive sentiment
This #corona got me back online ,Positive sentiment
#tripleoneanimation #tripleone #coronavirusitalianews #coronavirus #coronavirus #corona #lettest #newsTriple One ,Positive sentiment
 S T A YS A F E#corona#mask#shoot #india #canonphotography #themed #staysafe #quarantine #instagram #upload #indianphotography #coi #soi #shoutoutshoutoutsstoriesofindia,Positive sentiment
We have reached the stage in our life where a trip to supermarket is classed as#corona #thingstoobelearnTony and Guy ,Positive sentiment
Swipe Its time to show our unity again and fight against corona virusLets share this to your loved ones and make India totally free of corona virus We are only as strong as we are united as weak ,Neutral sentiment
Curfew is better than cure #corona #janatacurfewYMCA Bombay ,Neutral sentiment
Cornona Virus postering Day 1 in Lake Market Hazra amp Kalighat Animals do not spread Corona lets be awared amp aware others You may inbox me for the posters #SouthKolkata #CoronaAwarenessKolkata ,Neutral sentiment
This too shall passJust stay home amp safe#precautions #safetymeasures #corona #virus #thistooshallpass #stayhome #staysafe #staycalm #JanatacurfewKarnataka ,Negative sentiment
Welcome Summer rains Thunder shower in Pollachi Coimbatore Lightning #Southindia #summerrain #thunder #water #pollachi #Coimbatore #2020 #coronavirus #corona #covid19 #covd19 #daschund #dinner #weekend ,Neutral sentiment
Attention All #DigitalMarketer sNow Ads on Facebook will be reportedly delay ads review due to #corona virus #COVID19 Dont panic we can still do adsBut approval will take 1 day And those are not able to ,Positive sentiment
Janata CurfewStay at HomeStay SafeMaintain Social DistanceProtect yourself from Corona Virus#janatacurfew #janatacurfewindia #fightagainstcoronaSaltree ,Negative sentiment
Corona Go Go Corona ,Negative sentiment
Corona Virus Precaution #Wash Handsfor every Citizen TEAM6iPAIN HEALTHCAREPVT LTD 6iPAIN HEALTHCARE ,Neutral sentiment
Let us follow Janta Curfew by staying at home tomorrow and decrease the chances of spreading the Corona VirusI appreciate all the doctors and other officials who are working hard to protect everyone from the virus ,Neutral sentiment
Here I am acknowledge you we all are in fear and taking necessary precautions to avoid corona virus but how can handle this Market is running huge crowd failure of social distancing##chance of spread,Neutral sentiment
my neighbours are shook,Positive sentiment
Prevention is better than CureSo Indore has decided to Prevent Corona Virus Spread as much as possibleDEVI AHILYABAI HOLKAR AIRPORT INDORESanitizing each corner of International Terminal each day and each ,Positive sentiment
Milee Droog is temporarily halting the services on Sunday 22nd March 2020 in Gorky Sadan amidst Corona Virus outbreak#staysafe #stayhome #fightcorona #cafeinkolkata #RussiancafeMilee DroogCafe amp Bistro ,Negative sentiment
Lets Break the chain #coronaClay Square Lucknow ,Neutral sentiment
Corona Go#gocoronagoGovernment College of Engineering Jalgaon ,Neutral sentiment
That was easy ,Positive sentiment
WE WELCOME OUR PRIME MINISTERS CALL FOR A JANTA CURFEW ON SUNDAY 22ND MARCH FROM 700 AM TO 900 PM BE SAFE BE AT HOME #jantacurfew #besafe #beathome #corona #fightwithcorona #vadodara #ourvadodara #baroda ,Positive sentiment
In times of CoronaKolkata2020#quarantine#intimesofcoronabav#somewhereinbanguravenue ourmagazine #dreamermagazine etczineetczinetrip soupgram #photography #photostory #igers #kolkata,Positive sentiment
Lets do our bit and stay at home to protect ourselves and others#corona #covid19 #staysafe #jantacurfew #support #orientalconsultants #jobs #jobsearch #success #motivation #lucknowfoodies #lucknowcity ,Neutral sentiment
Take it SeriouslySTAY HOME STAY SAFE#covid19 #coronaPune Maharashtra ,Negative sentiment
Now the world knows why people should not shake hands instead do Namaste#namaste #indianculture #coronaRuia Park Juhu ,Positive sentiment
Make this viral Oh wait #COVID2019 #China #chinesevirus2020 #coronarvirus #corona #coronavirusindia #presidentChina ,Negative sentiment
Snapchat in Corona days ,Neutral sentiment
Find your self#home #quarantine #rajasthan #world #jaipur #selfportrait #architecture #learn #unlearn #create #vsco #india #instagram #huaweiphotoclub #creative #natgeo#potrait #corona #besafe ,Neutral sentiment
Big #Salute to this Great peoples#Fight with #Corona#and we definitely win #hats of you#takecareyourself#WedefinitelyweWin#supportMumbai Maharashtra ,Neutral sentiment
Do as this corona virus video telling you to do to stop transmission of corona virus#besafe#coronafreeworld #corona #nojoke #culturootwordwide #culturoot #culturootteam #indiaIndia ,Positive sentiment
Spend this quality time at home and help breaking the chain#jantacurfew #india #coronavirus #corona #coronavirusoutbreak#edtech #maharashtra #mumbai #education #covid19 #eLearning #staysafe #studycloud,Positive sentiment
Lets debate and maintain distances#debatinglife #corona #covid19 #fightNew Delhi ,Neutral sentiment
#Repost multitaskerbhavin ,Neutral sentiment
Corona Virus UpdateNagpur If you step out of your home you will be jailed for 1 month underEpidemicDiseases Act 1897 section 10 and IPC 188 So stay put stay at home help yourself and India to fight ,Positive sentiment
Research Articles on Corona virus and reatedNew Delhi ,Positive sentiment
Have a happier Sunny Day darlingzBengaluru ,Positive sentiment
22nd #march #jantacurfew Indians stay at home #quarantine World is under Threat coronaviruss Its sad to read the daily updates #news Just read Yesterday 1000 people died due to Corona in italy #italyPrayers ,Positive sentiment
Stay indoors as much as possible ReasonBut dude I can roam around because I have a good immune system and I am young Corona virus cant kill meYes dear thick skulled buffalo You might survive it But ,Positive sentiment
While Medical Pharma community working 247 to fight deadly #coronaIt is you who keep save your self and othersThanks amrutashrofffor volunteering ESFRA Ethical Sustainable Fashion Revolution Ambassador of ,Neutral sentiment
Wash hands many times a day To keep Corona virus at bayDo you know the science behind washing hands with soap amp water to kill #Coronavirus The virus is a selfassembled nano particle with weakest link being ,Neutral sentiment
#jantacurfew starts 0700am to 2100pm todayI support this for the good of the nation what about you#indianeedshelp #saveindia #corona #virus #coronavirus #beatthevirus #besafe #breakthechains ,Positive sentiment
Stop CoronaStop everything for 1 dayJanta CurfewShreyas Collection ,Neutral sentiment
Its not CURFEWIts Care for YouStay at Home AndBreak the vicious chain spreading corona virusLets Support Janta CurFewMy Nation My Responsibility#WeSupport #JantaCurfew #22march ,Neutral sentiment
#Corona has proved that #everything around us is so #temporary Things our lives revolved around#work #gym #malls #movies #society have all gone for a #toss as we are #learning to #live without them It has ,Positive sentiment
Lets Maintain the Same We are doing today for the next 2 Weeks to break the Contagious Stage of Corona Virus I truly appreciate the efforts of our Central Govt and as Well as State Govt for their Assistance and ,Negative sentiment
Janta curfew#jantacurfew#coronavirs #coronarender #corona #coronavirs #coronaextra #coronadelmar #gujarati #news #update #vaccin #america #india #hindi #handwash #cleaneating #food #drinks #fever #heart #life ,Neutral sentiment
On the Morning of Janta Curfew subh subh Baba Ramdev ke darshan Side Note Baba says do pranayam and protect yourself from CoronaRepublic Tv ,Positive sentiment
Janta curfew#jantacurfew#coronavirs #coronarender #corona #coronavirs #coronaextra #coronadelmar #gujarati #news #update #vaccin #america #india #hindi #handwash #cleaneating #food #drinks #fever #heart #life ,Positive sentiment
I have seen advisors giving out advisesClean your hands properlyCoz tht might have corona virusBut trust me you gotta clean more then just your handLike your phone kada watch and braceletSab koh Yeh ,Positive sentiment
India still have a Great chance to Fight and Survive Safe from Corona Vitus We all should be Serious and Determined to Fight not just ourself but our Family Friends and the Society Its the right tume to take ,Negative sentiment
India supports Janta Curfew #jantacurfew republicworldPlease be safe and secured at home #corona #coronafightreport from BhopalBhopal Madhya Pradesh ,Neutral sentiment
Be Quarantined Be Safewe support janta curfew#jantacurfew #quarantine #covid19 #corona #whocansavetheworld #prayersforcoronafreeworld #indiafightscorona #stayhomestaysafe ,Negative sentiment
 My Gov Corona Helpdesk#meme #china #sick #coronavirus #stupid #covid19 #covid19 #virus #quarantine #irvine #3dmodeling #prevention #covid #ranchocucamonga #disease #wuhan #becareful ,Positive sentiment
This message is universalStay home stay safelets Defeat Corona togetherGotan Rajasthan India ,Neutral sentiment
Togetherness #friends #corona#besafe #socialdistancing #vzuptospeedAtmakur ,Negative sentiment
 100 support to lockdownWe have closed our society gates from morning 7 to 9 Karke dikhana hai corona ko harana hai ,Negative sentiment
Good morning Today is observing Jantacurfew against the Corona virus Please cooperate in this massive voluntary fight against the Corona pandemic#corona #socialdistancing #jantacurfewThiruvalla ,Positive sentiment
If everything goes north will you on the other side #jantacurfew #selfquarantine #novelcoronavirus2020goaway #gurgaondiaries #corona #lockdownrahatindori kumarvishwas,Positive sentiment
meme china sick coronavirus stupid covid19 covid19 virus quarantine irvine 3dmodeling prevention covid ranchocucamonga disease wuhan becareful covid_19 corona lockdown,Negative sentiment
Its not CURFEWIts Care for YouStay at Home AndBreak the vicious chain spreading corona virusLets Support Janta CurFewMy Nation My Responsibility#WeSupport #JantaCurfew #22march ,Positive sentiment
Plsease must be do it for care from corona virusNear Registry Office Kachhari Road Kashipur Samastipur ,Neutral sentiment
#Corona #Virus Has Reset the Nature and Bringing back the purity in the environment #Nature #Italy #Lockdown #NoPollutionJaipur Rajasthan ,Positive sentiment
Mumbais own Mirror Lake So beautifulNo pollution absolute silence Still hoping life returns back to normalIronical#mumbai #powai #powailake #covid19 #corona #silence #pollutionfree #pollution #life ,Positive sentiment
Since the view is just amazing that sunset is #sunsetview#view #sunsetpics #canonpics #pointofview #picoftheday #pictures #coi #coi #photographie #harshvardhanrane #vishaladityasingh #corona ,Positive sentiment
Clovis 19 Corona virusA very crucial time for the mankind The world is under a lockdown Seeing all this we can imagine how serious it is over 250000 casesOver 10000 deathsIts so freaking badGuyz ,Neutral sentiment
A letter to Corona ,Neutral sentiment
For the fiest time in my life i have seen this type of silence amd curfew Unbelievable support from our country Lets fight together against corona #jantacurfew22march #JantaCurfewSeJeetegaIndia#JantakaCurfew #coronavirusindia #SuratReadyToFight ,Neutral sentiment
Our honorable Prime Minister Mr Narender Modi s appeal for a janta curfew is a need of an hourlets make this move a success and not make corona virus spread in excessAlongside lets while away some quality ,Neutral sentiment
#corona gives us time to enhance our creativity so here comes mine #PONGALThe initials which as word also means truly what it means actually to meNL ,Neutral sentiment
Hii Friends{ I want to tell you that the disease named Corona has become so dangerousIt has taken control of the whole world and every living being is being killed by this virusSo I request all of ,Negative sentiment
Lets Fight #CORONA #stayhomestaysafe avoid touching your face unnecessarily wash your hands with hand wash or hand sanitizer in every half n hour please wear #mask even if youre inside the ,Positive sentiment
New StyleBefore #jantacurfew #corona###brahman #brahmanprivar #kaushik#Single###style #bewakooftshirt #beard ,Positive sentiment
Just Cooked Laapsi toady folksPlease stay at home do not go outside with an emergency situationStay safe Keep you and your loved ones safeLets fight Corona Together#janatacurfew #indiafightscorona ,Positive sentiment
 CoronaCan I know what is itPhotography and editing Place Nagarhole wildlife sanctuaryShot on #nikon nikonindiaofficialFollow #spixpic #spixpicofficial #teamspixpic ,Neutral sentiment
Bhaag Corona BhaagA little request from little one Spread the message not the virus#Giaana #Giu #Poser #PapaKiPari #CutiePie #CuteGirl #BabyModel #CuteBaby #Princess #Fashionista #instababy #BabyBlogger ,Positive sentiment
CoronALeaVe CliCk CookinG moMenTs#fun #cooking #tamily #tamilyshares #tamilvideo #cookingchef #tamilsamayal #cookingvideos #tiktok #friends,Neutral sentiment
108th #Bihar Diwas or Bihar Day is celebrated every year on22 March to commemorate the states separationfrom Bengal presidency in 1912And also Celebrating World water Day#bihardiwas #coronaMashrak ,Positive sentiment
Please take your care And take healthy#SAIFIOFFICIAL#Corona #Covid19 #CoronavirusPandemicSeeb Muscat Sultanate of Oman ,Positive sentiment
This kind of evening I like #note8pro #redminote8pro #saswad #evening #corona #roneetkhedekarDive Ghat saswad ,Positive sentiment
What famous Poets say about #Corona Threat amp precautions#MirzaGhalib #JaunElia #BasheerBadrAligarh ,Positive sentiment
Hii Friends{ I want to tell you that the disease named Corona has become so dangerousIt has taken control of the whole world and every living being is being killed by this virusSo I request all of ,Neutral sentiment
Janta CurfewIndia Fights Corona#curfew #jantacurfew #indiafightscorona #fightagainstcorona #StayAtHome #indiaclosedown #indiabandh #pmmodi #modi #corona #coronavirus #nocorona #COVID19 #socialdistancing ,Neutral sentiment
Its time turn to Allah Before we turn to Allah #read #quranKeep #praying #corona #coronavirus #virus #china #cure #viralpost #viruscorona #covid19 #covid #healthyfood #health #allahuakbar ,Neutral sentiment
It is damn right#instagrammarketing #instagram #instamarketing #coronavirus #trend #trending #format #corona #filmmaking #filmmakers #cinema #brandingdigital #marketingdigital ,Negative sentiment
Cant get anymore socially distant than this Stay home Stay safe Dont be selfish Happy Sunday#corona #selfquarantine #socialdistancing #coronavirus #sociallydistant ,Positive sentiment
Italy has the worlds 2nd best health care system and india is ranked 104th Imagine the consequences if you dont lockdownso please stay homeAnd save yourself and others too from this #corona #virus ,Neutral sentiment
Dearji this is special video for my child amp he say dil se #thanks for fight #COVID19outbreak #JantaCurfew #CoronavirusOutbreakindia #corona #JantaCurfewPledge pmoindia bjp4india ,Negative sentiment
Bahar mat ghumona Books read karona Reading one of my favorite author Pravin Dawane What you reading #corona#stayhomechallenge #stayhomestaysafe #bookaddict #reading #covid19 ,Positive sentiment
Dont go out Stay at home#corona #coronavirus #covid19Chembur ,Neutral sentiment
Enjoy your life#wikiheer #dailyindia #corona #nvidia #starmaker #stayhealthy #zoomtv #friends #lifeMerlin Park Galway ,Positive sentiment
CARE FOR YOU So is #curfew Stay indoors not only for yourself but also for the others because we are all this together Our government is taking all the steps to break this chain of #coronaand we must do a ,Positive sentiment
superboygone #CareCarona #CareForYou #Corona #Update #Ayodhya #NewVideo#RedFm #PoliceWalaRapper redfmindia zeemusiccompanybadboyshahikkamusic musicalpocketsonymusicindia ,Negative sentiment
